"YearMonth","StockPack","Count","P.lst.number","Main.Transport.No","Warehouse","Transport.Mode","Carrier","Destination.City","P.lst.Destination.Zip.Code","Destination.Country","Load.Closed.Date","Expected.Time.of.Arrival","POD_ATA","Leadtime..avg.","POD_ATA.Exists","On.Time.Delivery..OTD.","Arrived.at.Harbour.Airport..ATA.","Actual.Delivery.Date..POD."
"NA - NA","Z159531",2,"Z159531","6325427521","12","Sea","Sandvik CSRT","HEATHERBRAE NSW","2324","Australia","2023-03-10","-","2023-03-13","3","Yes","-","2023-03-13","2023-03-13"
"NA - NA","Z159531",2,"Z159531","6325427521","12","Sea","Sandvik CSRT","HEATHERBRAE NSW","2324","Australia","2023-03-10","-","2023-03-13","3","Yes","-","2023-03-13","2023-03-13"
"NA - NA","Z159557",2,"Z159557","6673345754","23","Land","Sandvik CSRT","ÅKERSBERGA","184 32","Sweden","2023-03-08","-","2023-03-09","1","Yes","-","2023-03-09","2023-03-09"
"NA - NA","Z159557",2,"Z159557","6673345754","23","Land","Sandvik CSRT","ÅKERSBERGA","184 32","Sweden","2023-03-08","-","2023-03-09","1","Yes","-","2023-03-09","2023-03-09"
"NA - NA","Z159560",5,"Z159560","2495675862","20","Air","DHL Express Singapore","BOGOTA","110911","Colombia","2023-03-08","2023-03-13","2023-03-13","5","Yes","Yes","-","2023-03-13"
"NA - NA","Z159562",1,"Z159562","8MY3523","20","Air","DGF Singapore","SANDVIKEN","811 81","Sweden","2023-03-09","2023-03-29","2023-03-15","6","Yes","Yes","2023-03-11","2023-03-15"
"NA - NA","Z159566",2,"Z159566","8MY3524","20","Air","DGF Singapore","SANDVIKEN","811 81","Sweden","2023-03-09","2023-03-29","2023-03-15","6","Yes","Yes","2023-03-11","2023-03-15"
"NA - NA","Z159579",2,"Z159579","8MY3527","20","Air","DGF Singapore","HEATHERBRAE NSW","2324","Australia","2023-03-09","2023-03-23","2023-03-15","6","Yes","Yes","2023-03-12","2023-03-15"
"NA - NA","Z159591",9,"Z159591","8MY3525","20","Air","DGF Singapore","KENWICK WA","6107","Australia","2023-03-09","2023-03-23","2023-03-14","5","Yes","Yes","2023-03-12","2023-03-14"
"NA - NA","Z159594",1,"Z159594","355614531","37","Land","TNT NetherLands","SANDVIKEN","811 81","Sweden","2023-03-08","2023-03-13","2023-03-10","2","Yes","Yes","-","2023-03-10"
"NA - NA","Z159602",4,"Z159602","8MY3528","20","Air","DGF Singapore","VENLO","5928LT","NetherLands","2023-03-13","2023-03-30","2023-03-23","10","Yes","Yes","2023-03-15","2023-03-23"
"NA - NA","Z159611",20,"Z159611","8MY3526","20","Air","DGF Singapore","CLARKS SUMMIT PA","18411","United States","2023-03-09","2023-03-28","2023-03-16","7","Yes","Yes","2023-03-15","2023-03-16"
"NA - NA","Z159618",1,"Z159618","JTARGETROC2385270STK","C4","Land","SuperGroup","WELKOM","1462","South Africa","2023-03-08","2023-03-14","2023-03-09","1","Yes","Yes","-","2023-03-09"
"NA - NA","Z159623",1,"Z159623","6673344526","23","Land","Sandvik CSRT","LUZENAC","09250","France","2023-03-08","-","2023-03-14","6","Yes","-","2023-03-14","2023-03-14"
"NA - NA","Z159623",1,"Z159623","6673344526","23","Land","Sandvik CSRT","LUZENAC","09250","France","2023-03-08","-","2023-03-14","6","Yes","-","2023-03-14","2023-03-14"
"NA - NA","Z159625",1,"Z159625","JFIN812385210EMR","C4","Land","SuperGroup","FINSCH","1462","South Africa","2023-03-08","2023-03-13","2023-03-09","1","Yes","Yes","-","2023-03-09"
"NA - NA","Z159637",1,"Z159637","JBRA2462385730STK001","C4","Land","SuperGroup","SOUTH AFRICA","4242","South Africa","2023-03-08","2023-03-10","2023-03-13","5","Yes","No","-","2023-03-13"
"NA - NA","Z159641",1,"Z159641","JSAN2002385253EMR003","C4","Land","SuperGroup","DURBAN","4000","South Africa","2023-03-08","2023-03-13","2023-03-09","1","Yes","Yes","-","2023-03-09"
"NA - NA","Z159656",2,"Z159656","JDEL1122385266STK","C4","Land","SuperGroup","RUSTENBURG","1462","South Africa","2023-03-08","2023-03-10","2023-03-09","1","Yes","Yes","-","2023-03-09"
"NA - NA","Z159659",2,"Z159659","6673344526","12","Land","Sandvik CSRT","VENLO","5928LT","Netherlands","2023-03-08","-","2023-03-17","9","Yes","-","2023-03-17","2023-03-17"
"NA - NA","Z159659",2,"Z159659","6673344526","12","Land","Sandvik CSRT","VENLO","5928LT","NetherLands","2023-03-08","-","2023-03-17","9","Yes","-","2023-03-17","2023-03-17"
"NA - NA","Z159683",3,"Z159683","6673344526","12","Land","Sandvik CSRT","VENLO","5928LT","Netherlands","2023-03-08","-","2023-03-17","9","Yes","-","2023-03-17","2023-03-17"
"NA - NA","Z159683",3,"Z159683","6673344526","12","Land","Sandvik CSRT","VENLO","5928LT","NetherLands","2023-03-08","-","2023-03-17","9","Yes","-","2023-03-17","2023-03-17"
"NA - NA","Z159760",2,"Z159760","6673345754","23","Land","Sandvik CSRT","ÅKERSBERGA","184 32","Sweden","2023-03-08","-","2023-03-09","1","Yes","-","2023-03-09","2023-03-09"
